sample	elapsed_s	uptime_s	pid	cpu_user	cpu_nice	cpu_system	cpu_idle	cpu_iowait	cpu_irq	cpu_softirq	cpu_steal	proc_utime	proc_stime	proc_vsize_bytes	proc_rss_pages	vmrss_kb	vmhwm_kb	voluntary_ctxt	nonvoluntary_ctxt	memfree_kb	memavailable_kb	cached_kb
0	0	792.63	258	12606	0	4599	58392	282	0	231	0	12986	3711	92422144	2718	10872	13432	680909	8676	4168	26560	22456
1	1	793.73	258	12631	0	4617	58453	282	0	231	0	13012	3723	92422144	2718	10872	13432	681799	8699	4168	26564	22456
2	2	794.79	258	12657	0	4631	58514	282	0	232	0	13038	3732	92422144	2718	10872	13432	682662	8720	4168	26564	22456
3	3	795.85	258	12683	0	4646	58575	282	0	232	0	13067	3742	92422144	2718	10872	13432	683553	8739	4168	26564	22456
4	4	796.93	258	12712	0	4657	58636	282	0	232	0	13095	3750	92422144	2718	10872	13432	684427	8752	4156	26564	22456
5	5	797.99	258	12738	0	4669	58695	283	0	234	0	13124	3759	92422144	2718	10872	13432	685316	8766	4140	26560	22456
6	6	799.07	258	12763	0	4680	58756	283	0	238	0	13150	3768	92422144	2718	10872	13432	686181	8786	4068	26560	22472
7	7	800.12	258	12790	0	4693	58816	283	0	238	0	13179	3776	92422144	2718	10872	13432	687068	8801	4068	26560	22472
8	8	801.20	258	12816	0	4708	58877	283	0	238	0	13204	3788	92422144	2718	10872	13432	687938	8819	4068	26560	22472
9	9	802.25	258	12842	0	4723	58937	283	0	239	0	13229	3799	92422144	2718	10872	13432	688803	8838	4068	26568	22472
10	10	803.32	258	12867	0	4739	58999	283	0	239	0	13256	3810	92422144	2718	10872	13432	689704	8851	4068	26568	22472
11	11	804.40	258	12893	0	4757	59060	283	0	239	0	13280	3822	92422144	2718	10872	13432	690581	8864	4068	26568	22472
12	12	805.45	258	12918	0	4769	59120	284	0	240	0	13309	3830	92422144	2718	10872	13432	691470	8885	4068	26572	22472
13	13	806.53	258	12946	0	4783	59182	284	0	241	0	13336	3841	92422144	2718	10872	13432	692344	8904	4068	26572	22472
14	14	807.59	258	12972	0	4797	59243	284	0	241	0	13362	3850	92422144	2718	10872	13432	693207	8920	4056	26568	22472
15	15	808.67	258	13000	0	4814	59304	284	0	241	0	13388	3863	92422144	2718	10872	13432	694120	8938	4056	26568	22472
16	16	809.74	258	13026	0	4829	59364	284	0	241	0	13414	3874	92422144	2718	10872	13432	694978	8952	4056	26568	22472
17	17	810.80	258	13052	0	4844	59425	284	0	242	0	13441	3883	92422144	2718	10872	13432	695848	8968	4056	26568	22472
18	18	811.88	258	13077	0	4862	59487	284	0	242	0	13465	3897	92422144	2718	10872	13432	696745	8986	4056	26568	22472
19	19	812.95	258	13103	0	4877	59548	284	0	243	0	13490	3908	92422144	2718	10872	13432	697614	9009	4056	26576	22472
20	20	814.00	258	13130	0	4892	59608	284	0	244	0	13517	3920	92422144	2718	10872	13432	698500	9033	4056	26576	22472
21	21	815.09	258	13157	0	4907	59669	284	0	244	0	13541	3932	92422144	2718	10872	13432	699374	9044	4044	26568	22476
22	22	816.14	258	13180	0	4916	59730	284	0	249	0	13568	3941	92422144	2718	10872	13432	700241	9054	4044	26568	22476
23	23	817.22	258	13206	0	4931	59791	284	0	252	0	13594	3954	92422144	2718	10872	13432	701128	9069	4044	26572	22476
24	24	818.30	258	13231	0	4944	59852	285	0	252	0	13620	3963	92422144	2718	10872	13432	701999	9083	4032	26568	22476
25	25	819.35	258	13256	0	4959	59913	285	0	253	0	13650	3972	92422144	2718	10872	13432	702899	9100	4032	26568	22476
26	26	820.43	258	13284	0	4972	59974	285	0	253	0	13676	3981	92422144	2718	10872	13432	703764	9113	4032	26568	22476
27	27	821.49	258	13311	0	4984	60034	285	0	254	0	13705	3989	92422144	2718	10872	13432	704632	9134	4032	26568	22476
28	28	822.54	258	13336	0	4999	60095	285	0	254	0	13730	4003	92422144	2718	10872	13432	705520	9149	4032	26568	22476
29	29	823.62	258	13364	0	5015	60153	286	0	254	0	13757	4012	92422144	2718	10872	13432	706374	9172	4020	26568	22476
30	30	824.68	258	13389	0	5030	60215	286	0	255	0	13782	4022	92422144	2718	10872	13432	707252	9191	4020	26568	22476
31	31	825.76	258	13419	0	5043	60276	286	0	255	0	13811	4032	92422144	2718	10872	13432	708133	9206	4020	26568	22476
32	32	826.82	258	13445	0	5056	60338	286	0	255	0	13836	4041	92422144	2718	10872	13432	708998	9222	4020	26568	22476
33	33	827.88	258	13470	0	5071	60399	286	0	255	0	13865	4051	92422144	2718	10872	13432	709893	9232	4020	26568	22476
34	34	828.95	258	13495	0	5087	60460	287	0	256	0	13888	4063	92422144	2718	10872	13432	710763	9250	4008	26572	22480
35	35	830.01	258	13522	0	5099	60520	287	0	256	0	13916	4072	92422144	2718	10872	13432	711632	9262	4008	26572	22480
36	36	831.09	258	13552	0	5113	60581	287	0	257	0	13946	4082	92422144	2718	10872	13432	712534	9276	4008	26572	22480
37	37	832.16	258	13577	0	5128	60641	287	0	257	0	13973	4091	92422144	2718	10872	13432	713398	9297	4008	26572	22480
38	38	833.21	258	13602	0	5143	60703	287	0	258	0	13999	4101	92422144	2718	10872	13432	714283	9314	4008	26572	22480
39	39	834.29	258	13626	0	5161	60764	287	0	259	0	14024	4113	92422144	2718	10872	13432	715143	9330	3996	26568	22480
