sample	elapsed_s	uptime_s	pid	cpu_user	cpu_nice	cpu_system	cpu_idle	cpu_iowait	cpu_irq	cpu_softirq	cpu_steal	proc_utime	proc_stime	proc_vsize_bytes	proc_rss_pages	vmrss_kb	vmhwm_kb	voluntary_ctxt	nonvoluntary_ctxt	memfree_kb	memavailable_kb	cached_kb
0	0	470.32	540	1336	0	1603	42643	238	0	39	0	665	829	87138304	3457	13828	14360	372963	5112	1376	26664	25492
1	1	471.42	540	1377	0	1617	42692	238	0	39	0	700	829	87138304	3457	13828	14360	373883	5115	1280	26576	25580
2	2	472.53	540	1413	0	1634	42742	238	0	39	0	734	829	87138304	3457	13828	14360	374792	5129	1388	26684	25464
3	3	473.63	540	1450	0	1647	42793	238	0	40	0	770	829	87138304	3457	13828	14360	375694	5151	1316	26612	25548
4	4	474.72	540	1487	0	1660	42842	238	0	41	0	806	829	87138304	3457	13828	14360	376594	5157	1400	26708	25436
5	5	475.79	540	1521	0	1678	42892	238	0	42	0	839	832	87138304	3457	13828	14360	377484	5177	1328	26636	25516
6	6	476.90	540	1558	0	1693	42942	238	0	42	0	873	834	87138304	3421	13684	14360	378406	5192	1844	26556	24992
7	7	478.01	540	1597	0	1706	42993	238	0	42	0	907	835	87138304	3421	13684	14360	379303	5219	1964	26676	24876
8	8	479.11	540	1633	0	1723	43041	238	0	43	0	940	838	87138304	3421	13684	14360	380191	5241	1868	26580	24960
9	9	480.20	540	1671	0	1738	43092	238	0	43	0	975	839	87138304	3421	13684	14360	381099	5253	1988	26704	24840
10	10	481.28	540	1709	0	1751	43140	238	0	44	0	1008	840	87138304	3421	13684	14360	381990	5262	1904	26620	24924
11	11	482.38	540	1747	0	1764	43188	240	0	44	0	1043	841	87138304	3421	13684	14360	382897	5275	2012	26736	24812
12	12	483.47	540	1784	0	1775	43238	240	0	45	0	1077	843	87138304	3421	13684	14360	383782	5300	1916	26640	24892
13	13	484.53	540	1820	0	1788	43287	240	0	46	0	1110	846	87138304	3421	13684	14360	384677	5321	1856	26580	24972
14	14	485.63	540	1857	0	1801	43336	240	0	46	0	1142	848	87138304	3421	13684	14360	385552	5330	1964	26688	24860
15	15	486.71	540	1894	0	1815	43385	240	0	47	0	1175	851	87138304	3421	13684	14360	386441	5356	1868	26596	24944
16	16	487.79	540	1932	0	1828	43435	240	0	47	0	1209	853	87138304	3421	13684	14360	387334	5368	1988	26724	24824
17	17	488.88	540	1965	0	1842	43485	240	0	48	0	1242	855	87138304	3421	13684	14360	388240	5388	1904	26640	24908
18	18	489.98	540	2001	0	1857	43534	240	0	49	0	1271	862	87138304	3421	13684	14360	389134	5402	1820	26556	24996
19	19	491.07	540	2033	0	1876	43583	240	0	49	0	1301	868	87138304	3421	13684	14360	390015	5424	1928	26664	24876
20	20	492.14	540	2069	0	1888	43632	240	0	49	0	1334	871	87138304	3421	13684	14360	390932	5438	1844	26588	24956
21	21	493.24	540	2105	0	1905	43681	240	0	49	0	1364	875	87138304	3421	13684	14360	391817	5461	1952	26704	24844
22	22	494.33	540	2142	0	1919	43730	240	0	51	0	1397	878	87138304	3421	13684	14360	392723	5476	1868	26620	24928
23	23	495.42	540	2178	0	1937	43780	240	0	52	0	1430	882	87138304	3421	13684	14360	393625	5493	1796	26548	25004
24	24	496.50	540	2215	0	1950	43829	240	0	52	0	1462	886	87138304	3421	13684	14360	394526	5517	1904	26656	24892
25	25	497.61	540	2255	0	1963	43880	240	0	53	0	1495	888	87138304	3421	13684	14360	395426	5532	1820	26572	24976
26	26	498.71	540	2293	0	1976	43928	240	0	53	0	1530	890	87138304	3421	13684	14360	396324	5549	1916	26680	24864
27	27	499.79	540	2326	0	1993	43978	240	0	54	0	1561	895	87138304	3421	13684	14360	397229	5554	1832	26596	24948
28	28	500.88	540	2362	0	2009	44027	240	0	54	0	1593	897	87138304	3421	13684	14360	398127	5571	1960	26724	24828
29	29	501.98	540	2399	0	2025	44076	240	0	55	0	1623	903	87138304	3421	13684	14360	399030	5601	1876	26640	24916
30	30	503.08	540	2436	0	2039	44124	241	0	55	0	1656	907	87138304	3421	13684	14360	399915	5627	1780	26544	24996
31	31	504.14	540	2472	0	2055	44174	241	0	55	0	1687	911	87138304	3421	13684	14360	400823	5641	1920	26700	24880
32	32	505.24	540	2506	0	2071	44223	241	0	56	0	1715	918	87138304	3421	13684	14360	401708	5647	1836	26616	24964
33	33	506.33	540	2543	0	2084	44272	241	0	56	0	1748	921	87138304	3421	13684	14360	402607	5665	1956	26736	24852
34	34	507.40	540	2580	0	2099	44321	241	0	56	0	1782	924	87138304	3421	13684	14360	403505	5680	1872	26652	24928
35	35	508.50	540	2616	0	2115	44371	241	0	56	0	1812	928	87138304	3421	13684	14360	404397	5702	1788	26568	25012
36	36	509.60	540	2655	0	2130	44419	241	0	57	0	1846	931	87138304	3421	13684	14360	405293	5718	1896	26688	24904
37	37	510.68	540	2690	0	2148	44469	241	0	57	0	1876	937	87138304	3421	13684	14360	406201	5746	1788	26584	24988
38	38	511.78	540	2723	0	2163	44519	241	0	57	0	1906	943	87138304	3421	13684	14360	407104	5769	1932	26728	24864
39	39	512.88	540	2763	0	2179	44568	241	0	57	0	1937	949	87138304	3421	13684	14360	408008	5780	1836	26632	24952
40	40	513.98	540	2804	0	2190	44617	241	0	58	0	1972	951	87138304	3421	13684	14360	408929	5783	1968	26764	24828
41	41	515.06	540	2840	0	2204	44666	241	0	58	0	2003	956	87138304	3421	13684	14360	409836	5811	1872	26676	24916
42	42	516.16	540	2875	0	2219	44715	241	0	59	0	2032	961	87138304	3421	13684	14360	410734	5829	1776	26584	25000
43	43	517.27	540	2911	0	2235	44764	241	0	59	0	2065	966	87138304	3421	13684	14360	411631	5852	1884	26692	24880
44	44	518.33	540	2945	0	2252	44813	242	0	60	0	2096	970	87138304	3421	13684	14360	412547	5859	1812	26620	24964
45	45	519.43	540	2985	0	2265	44861	242	0	60	0	2129	972	87138304	3421	13684	14360	413436	5872	1932	26740	24848
46	46	520.53	540	3022	0	2280	44910	242	0	60	0	2159	978	87138304	3421	13684	14360	414325	5900	1824	26640	24932
47	47	521.60	540	3059	0	2293	44960	242	0	60	0	2191	982	87138304	3421	13684	14360	415236	5919	1764	26580	25012
48	48	522.70	540	3095	0	2309	45010	242	0	61	0	2221	987	87138304	3421	13684	14360	416143	5938	1872	26688	24896
49	49	523.80	540	3134	0	2321	45060	242	0	61	0	2253	991	87138304	3421	13684	14360	417030	5956	1788	26604	24984
50	50	524.89	540	3171	0	2333	45108	242	0	62	0	2287	993	87138304	3421	13684	14360	417916	5980	1908	26724	24860
51	51	525.96	540	3209	0	2346	45157	242	0	63	0	2318	997	87138304	3421	13684	14360	418820	5985	1812	26636	24948
52	52	527.06	540	3245	0	2362	45206	242	0	63	0	2349	1002	87138304	3421	13684	14360	419714	5998	1920	26744	24832
53	53	528.13	540	3280	0	2375	45255	242	0	63	0	2381	1008	87138304	3421	13684	14360	420620	6012	1848	26676	24908
54	54	529.22	540	3317	0	2391	45304	242	0	64	0	2410	1013	87138304	3421	13684	14360	421513	6027	1764	26592	24996
55	55	530.32	540	3352	0	2408	45353	242	0	65	0	2438	1021	87138304	3421	13684	14360	422407	6045	1872	26700	24880
56	56	531.40	540	3388	0	2425	45402	243	0	66	0	2468	1026	87138304	3421	13684	14360	423304	6054	1788	26624	24960
57	57	532.48	540	3420	0	2439	45452	243	0	66	0	2496	1033	87138304	3421	13684	14360	424191	6068	1908	26744	24844
